id,osm_id,latitude,longitude
0,245650967,18.7540095,73.4043777
1,245650970,18.7541977,73.4057933
2,245650975,18.7544899,73.4066282
3,245650984,18.7553376,73.3997257
4,245651065,18.7592394,73.4307044
5,283138761,18.7599702,73.4690762
6,283138775,18.7536411,73.470156
7,283138780,18.7618338,73.4524241
8,283138810,18.7589923,73.4158217
9,283138816,18.7609051,73.4227332
10,283138819,18.7600723,73.426857
11,283138820,18.7587352,73.3941155
12,283138824,18.7591631,73.3945663
13,283144827,18.7287215,73.3970219
14,283144872,18.7331408,73.4021701
15,283144897,18.7330874,73.4054149
16,283144951,18.7457587,73.4010335
17,283144964,18.7473742,73.3987935
18,283144970,18.7492878,73.3947394
19,283144993,18.7540961,73.3927714
20,283145023,18.7546476,73.3958896
21,283145030,18.7547099,73.3968761
22,283145041,18.7546534,73.3992991
23,283145079,18.74982,73.403978
24,283145091,18.7510594,73.4045193
25,454147967,18.7597122,73.3909283
26,454147980,18.7617327,73.3914421
27,454148000,18.7625163,73.3908081
28,454148006,18.7630602,73.3903081
29,454148013,18.7630314,73.390832
30,454148030,18.762886,73.3919389
31,476648129,18.7582407,73.4088289
32,476648130,18.7586115,73.4091668
33,476648132,18.7589555,73.4095629
34,476648153,18.7691619,73.4081159
35,476648156,18.7715049,73.4054525
36,476677518,18.7699709,73.4012453
37,506247872,18.7218212,73.4779757
38,506249106,18.7093754,73.4796409
39,506249112,18.7092941,73.4797439
40,506265028,18.7331307,73.4779579
41,533742997,18.7564742,73.4290055
42,533744509,18.7350317,73.4323734
43,535077831,18.7460843,73.415527
44,535077836,18.7423896,73.4181668
45,535077844,18.7414525,73.4230585
46,535077860,18.7386914,73.4334103
47,535078117,18.7342859,73.4395901
48,535078123,18.7306525,73.441341
49,535078134,18.7296157,73.4429606
50,535078137,18.7289451,73.4451278
51,535078144,18.72799,73.4488132
52,535078542,18.7243771,73.451409
53,535079667,18.7153495,73.4662046
54,535079682,18.711676,73.4675994
55,535079696,18.7095471,73.4699061
56,535083222,18.7476542,73.4080801
57,535083224,18.7478096,73.4073136
58,535083225,18.7478382,73.4071888
59,535083226,18.7485583,73.4073082
60,535188338,18.7533097,73.4041846
61,800586760,18.7716863,73.4082131
62,810288301,18.7551761,73.4079961
63,920504739,18.7160887,73.4594833
64,920513221,18.7070118,73.461714
65,921175127,18.7607165,73.4294841
66,968817245,18.759794,73.3909405
67,975015028,18.7485085,73.4054333
68,975015036,18.7480912,73.4054813
69,1131076796,18.7603896,73.425309
70,1131076801,18.7604855,73.4423233
71,1131076810,18.7588162,73.4327226
72,1131076811,18.7607161,73.4648215
73,1131077029,18.7591116,73.4171107
74,1131077113,18.7606921,73.4255626
75,1131077290,18.7562383,73.4291774
76,1131077343,18.759156,73.4313478
77,1131077448,18.7585748,73.4224791
78,1131077510,18.7606372,73.424985
79,1131077519,18.7591249,73.4310659
80,1131077562,18.7590858,73.4312786
81,1219124747,18.7637416,73.4067318
82,1219124804,18.7649878,73.4029937
83,1219125525,18.7600131,73.4041882
84,2052098571,18.7601604,73.3842682
85,2052098595,18.7639237,73.3838739
86,2052098609,18.7657256,73.3835621
87,2052098639,18.7748262,73.3854881
88,2052098643,18.7761996,73.3870025
89,2052098673,18.7797397,73.3878133
90,2074628078,18.7598096,73.4146205
91,2074628079,18.7584706,73.4147221
92,2074628093,18.7658971,73.4079383
93,2074628094,18.7635994,73.411714
94,2074628095,18.7629885,73.4116421
95,2074628096,18.7628869,73.413804
96,2074628099,18.761419,73.4142171
97,2074628100,18.761358,73.4146194
98,2074634904,18.7630498,73.4084568
99,2074635778,18.7650761,73.4119801
100,2074636045,18.7649522,73.4121694
101,2074636340,18.7646596,73.4138147
102,2222379161,18.760246,73.4711908
103,2222379171,18.7603216,73.474109
104,2222379181,18.7605557,73.4423342
105,2222379185,18.7606504,73.4655712
106,2285328935,18.7600444,73.4690413
107,2302127575,18.7578665,73.4294733
108,2302127611,18.7592633,73.4284058
109,2302127623,18.7591591,73.4293303
110,2302127712,18.7606196,73.429059
111,2325383099,18.7479836,73.4063882
112,2325383103,18.7477897,73.4061859
113,2325383113,18.747399,73.4050275
114,2325393210,18.7468902,73.4070722
115,2325393215,18.7435486,73.4068945
116,2325393216,18.7466101,73.4132633
117,2325393219,18.7465807,73.4092459
118,2325393222,18.7468648,73.4048727
119,2325393229,18.7461536,73.4033332
120,2325421552,18.7495152,73.3966637
121,2325421554,18.749177,73.3988913
122,2325421561,18.7513359,73.3956512
123,2325421563,18.7479294,73.3991829
124,2325458889,18.7472766,73.4152956
125,2325458891,18.7470081,73.4154187
126,2325458895,18.7485153,73.4215407
127,2325458904,18.7506752,73.4221135
128,2325458906,18.7495668,73.4168705
129,2325610614,18.7467714,73.4079578
130,2325610616,18.7472874,73.4080103
131,2325631421,18.7473648,73.4092613
132,2325631422,18.7470775,73.4092394
133,2325631424,18.7470252,73.4105302
134,2325631425,18.7476544,73.4093045
135,2325631427,18.7474209,73.4072115
136,2325631429,18.7474776,73.4086863
137,2325631430,18.7439296,73.408933
138,2325631431,18.7471839,73.4086523
139,2325631432,18.7466872,73.4085869
140,2325631433,18.7464739,73.4104423
141,2325639822,18.7478956,73.4068974
142,2325639823,18.7490763,73.4070813
143,2325639825,18.7484816,73.4063796
144,2325639826,18.7483969,73.4069664
145,2450675097,18.746929,73.4150283
146,2450675099,18.746789,73.4145953
147,2450675103,18.7464979,73.4136216
148,2450682328,18.7461792,73.4141724
149,2450682331,18.7449052,73.4141767
150,2450682333,18.7442875,73.4140551
151,2450682335,18.7439959,73.4164298
152,2450682340,18.74596,73.4158124
153,2451932759,18.7423289,73.4176347
154,2451932761,18.7421362,73.4178484
155,2451932764,18.74113,73.4190348
156,2451932769,18.7425583,73.4161226
157,2451932772,18.7422526,73.4178647
158,2684638085,18.7330568,73.443396
159,2684638096,18.7396329,73.4675507
160,2684638203,18.7652628,73.3868108
161,2684638215,18.7660106,73.3880248
162,3105811618,18.7642495,73.4117468
163,3105811623,18.7652333,73.4140267
164,3105811624,18.765707,73.4142002
165,3222953593,18.7639897,73.3844483
166,3222953610,18.7644422,73.3858525
167,3222953623,18.7649639,73.3853371
168,3222953657,18.7663269,73.3858495
169,3222953664,18.7665485,73.3845521
170,3222953666,18.7667052,73.3838268
171,3222953671,18.7666917,73.3837163
172,3222953675,18.7668062,73.3817941
173,3222953676,18.766865,73.3830834
174,3222953677,18.7668692,73.3837052
175,3222953683,18.767838,73.3845156
176,3222953684,18.767923,73.3829694
177,3222953685,18.7680042,73.3854116
178,3222953691,18.7687793,73.3833684
179,3222953693,18.7688182,73.3829
180,3222953715,18.7693438,73.3819112
181,3222953717,18.7694209,73.3832335
182,3222953719,18.7696331,73.3867234
183,3222953720,18.7696637,73.3875227
184,3222953724,18.7697872,73.3814342
185,3222953727,18.7698096,73.3885728
186,3222953728,18.7698119,73.3822972
187,3222953741,18.77001,73.3830511
188,3222953742,18.7699826,73.3853149
189,3222953751,18.7702257,73.3819633
190,3222953756,18.7702338,73.3841895
191,3222953759,18.7702737,73.3829662
192,3222953760,18.7702766,73.3810877
193,3222953771,18.7704031,73.3813128
194,3222953775,18.7704577,73.3853686
195,3222953782,18.7705731,73.3835264
196,3222953783,18.7705731,73.383616
197,3222953788,18.7706037,73.3884545
198,3222953797,18.7708644,73.3815217
199,3222953807,18.7712916,73.3810356
200,3222953808,18.7714306,73.3809291
201,3222953816,18.7722732,73.3865012
202,3222953845,18.7748987,73.3830162
203,3222953866,18.7753496,73.3838575
204,3222953872,18.7755034,73.3845629
205,3222953929,18.7763378,73.3862044
206,3222953965,18.7767339,73.3831987
207,3222954014,18.7771245,73.3839634
208,3222954025,18.777299,73.3832639
209,3222954026,18.7773265,73.3859886
210,3222954045,18.778463,73.3857099
211,3222954047,18.7786174,73.3860414
212,3222954058,18.7788646,73.3865721
